"URL","Price"
"https://www.bannerbuzz.com/step-and-repeat-banners/p","6.99"
"https://www.bannerbuzz.com/feather-flags/p","35.99"
"https://www.bannerbuzz.com/trade-show-canopy-kit/p","1520.00"
